Pokemon Count,Mulligan Probability (%)
1,88.03
2,77.42999999999999
3,68.89
4,60.31999999999999
5,53.04
6,45.660000000000004
7,40.63
8,34.42
9,30.130000000000003
10,26.1
11,21.73
12,19.17
13,15.97
14,13.420000000000002
15,12.2
16,9.98
17,8.58
18,6.98
19,5.609999999999999
20,4.81
21,4.14
22,3.26
23,2.74
24,2.06
25,1.91
26,1.41
27,1.13
28,0.9299999999999999
29,0.66
30,0.59
31,0.33999999999999997
32,0.3
33,0.29
34,0.2
35,0.13999999999999999
36,0.05
37,0.01
38,0.11
39,0.01
40,0.0
41,0.02
42,0.01
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
